file,dataset,librosa_F,v1_F,v2_F,gt_beats,lb_F_30,v1_F_30,v2_F_30,lb_F_50,v1_F_50,v2_F_50,lb_F_70,v1_F_70,v2_F_70,lb_F_90,v1_F_90,v2_F_90
disco.00091.wav,GTZAN,0.9247,0.9901,1.0,50,0.7957,0.7129,0.88,0.9247,0.9901,1.0,0.9247,0.9901,1.0,0.9247,0.9901,1.0
Media-105214.wav,Ballroom,0.4628,0.6275,0.6437,40,0.1322,0.4706,0.3908,0.2479,0.5882,0.6207,0.4628,0.6275,0.6437,0.595,0.6863,0.7356
233.wav,Hainsworth,0.9912,0.9957,0.9957,115,0.2456,0.987,0.9957,0.9298,0.9957,0.9957,0.9912,0.9957,0.9957,0.9912,0.9957,0.9957
jazz.00079.wav,GTZAN,1.0,0.7183,0.9391,54,0.5185,0.4648,0.713,0.9259,0.6479,0.9043,1.0,0.7183,0.9391,1.0,0.7324,0.9391
Albums-Macumba-11.wav,Ballroom,0.9583,0.7385,0.9796,48,0.1875,0.6462,0.9796,0.8125,0.7385,0.9796,0.9583,0.7385,0.9796,0.9583,0.7385,0.9796
Media-104907.wav,Ballroom,0.374,0.8175,0.8387,63,0.0488,0.6569,0.5161,0.1626,0.8029,0.7903,0.374,0.8175,0.8387,0.5366,0.8321,0.871
reggae.00097.wav,GTZAN,0.4706,0.5,0.5111,26,0.1961,0.3542,0.3778,0.3922,0.4583,0.4444,0.4706,0.5,0.5111,0.4706,0.5,0.5111
country.00047.wav,GTZAN,0.9933,0.9934,1.0,75,0.1879,0.9669,0.9867,0.8188,0.9934,1.0,0.9933,0.9934,1.0,0.9933,0.9934,1.0
082.wav,Hainsworth,0.9798,1.0,0.995,99,0.2323,0.9899,0.995,0.8788,1.0,0.995,0.9798,1.0,0.995,0.9899,1.0,0.995
jazz.00051.wav,GTZAN,0.9787,0.9388,0.9895,48,0.766,0.6327,0.7368,0.9787,0.8571,0.9263,0.9787,0.9388,0.9895,0.9787,0.9388,0.9895
metal.00011.wav,GTZAN,0.6335,0.5025,0.474,80,0.2112,0.2714,0.2775,0.4845,0.4623,0.4046,0.6335,0.5025,0.474,0.6832,0.5729,0.5549
Albums-Chrisanne3-03.wav,Ballroom,0.9425,0.8039,0.8037,44,0.2989,0.7059,0.785,0.8276,0.8039,0.8037,0.9425,0.8039,0.8037,0.9655,0.8235,0.8224
metal.00049.wav,GTZAN,0.6351,0.6286,0.9406,99,0.1622,0.4163,0.6931,0.6081,0.5878,0.8713,0.6351,0.6286,0.9406,0.6622,0.6531,0.9406
blues.00032.wav,GTZAN,0.3077,0.3788,0.322,62,0.1692,0.2273,0.2203,0.2769,0.3333,0.2203,0.3077,0.3788,0.322,0.4308,0.4848,0.4237
224.wav,Hainsworth,0.0,0.5968,0.744,94,0.0,0.4435,0.704,0.0,0.5726,0.728,0.0,0.5968,0.744,0.0,0.5968,0.752
Albums-Cafe_Paradiso-04.wav,Ballroom,0.313,0.9245,0.98,50,0.0522,0.9245,0.98,0.2435,0.9245,0.98,0.313,0.9245,0.98,0.313,0.9245,0.98
disco.00070.wav,GTZAN,0.9908,0.9821,1.0,55,0.6239,0.5893,0.6545,0.9908,0.8929,0.9091,0.9908,0.9821,1.0,0.9908,0.9821,1.0
disco.00062.wav,GTZAN,0.6852,0.9643,0.9908,54,0.4074,0.8929,0.9725,0.6852,0.9643,0.9908,0.6852,0.9643,0.9908,0.6852,0.9643,0.9908
Media-104406.wav,Ballroom,0.9605,0.9733,0.9946,92,0.3503,0.9412,0.973,0.8588,0.9733,0.9946,0.9605,0.9733,0.9946,0.9605,0.9733,0.9946
178.wav,Hainsworth,0.0,1.0,1.0,113,0.0,0.9912,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
blues.00091.wav,GTZAN,0.5652,0.9394,0.9524,63,0.413,0.697,0.7937,0.5652,0.8485,0.9048,0.5652,0.9394,0.9524,0.5652,0.9394,0.9683
blues.00059.wav,GTZAN,1.0,0.7075,0.8548,54,0.5926,0.5306,0.7258,0.963,0.7075,0.8548,1.0,0.7075,0.8548,1.0,0.7075,0.8548
pop.00048.wav,GTZAN,0.992,0.9764,0.9683,62,0.704,0.8819,0.873,0.992,0.9764,0.9683,0.992,0.9764,0.9683,0.992,0.9764,0.9683
Media-105010.wav,Ballroom,0.809,0.9492,1.0,90,0.1348,0.8136,0.9556,0.5618,0.9153,0.9889,0.809,0.9492,1.0,0.9551,0.9605,1.0
blues.00042.wav,GTZAN,0.3889,0.4423,0.4505,30,0.1667,0.3077,0.3243,0.3611,0.4038,0.3964,0.3889,0.4423,0.4505,0.3889,0.5,0.5225
Albums-Ballroom_Magic-09.wav,Ballroom,0.7356,0.9167,0.9886,89,0.0345,0.7738,0.9091,0.4138,0.869,0.9886,0.7356,0.9167,0.9886,0.8851,0.9167,0.9886
hiphop.00039.wav,GTZAN,0.6573,0.9412,0.9899,49,0.5315,0.7647,0.8889,0.6573,0.902,0.9697,0.6573,0.9412,0.9899,0.6573,0.9412,0.9899
jazz.00096.wav,GTZAN,0.1654,0.7755,0.9091,67,0.1353,0.4626,0.5455,0.1504,0.7075,0.8636,0.1654,0.7755,0.9091,0.2105,0.8163,0.9091
country.00012.wav,GTZAN,0.6565,0.9586,1.0,88,0.5344,0.5562,0.6477,0.6412,0.8521,0.9432,0.6565,0.9586,1.0,0.6565,0.9586,1.0
Albums-Latin_Jam-03.wav,Ballroom,0.9903,0.9905,1.0,52,0.2913,0.9714,0.9808,0.9709,0.9905,1.0,0.9903,0.9905,1.0,0.9903,0.9905,1.0
disco.00013.wav,GTZAN,0.6565,0.6612,0.6916,43,0.3359,0.5455,0.5607,0.6107,0.595,0.6355,0.6565,0.6612,0.6916,0.6565,0.6612,0.729
reggae.00067.wav,GTZAN,0.6349,0.9881,1.0,84,0.4603,0.9167,0.8929,0.619,0.9762,1.0,0.6349,0.9881,1.0,0.6349,0.9881,1.0
02_BN2-131-B_comp_mix.wav,GuitarSet,0.3462,0.8226,0.4578,64,0.1346,0.7903,0.4578,0.2885,0.8226,0.4578,0.3462,0.8226,0.4578,0.4038,0.8226,0.4578
classical.00028.wav,GTZAN,0.6325,0.5593,0.551,41,0.2393,0.322,0.3878,0.547,0.4915,0.4898,0.6325,0.5593,0.551,0.6496,0.5763,0.551
167.wav,Hainsworth,0.6667,0.6667,0.6713,48,0.1844,0.6525,0.6713,0.6525,0.6667,0.6713,0.6667,0.6667,0.6713,0.6667,0.6667,0.6713
jazz.00035.wav,GTZAN,0.8116,0.7765,0.8608,35,0.6957,0.3059,0.4304,0.7536,0.5882,0.7089,0.8116,0.7765,0.8608,0.8986,0.8,0.8608
05_BN1-129-Eb_comp_mix.wav,GuitarSet,0.0,0.6279,0.4262,48,0.0,0.2558,0.1967,0.0,0.5116,0.3607,0.0,0.6279,0.4262,0.0,0.6279,0.4262
country.00041.wav,GTZAN,0.918,0.9851,1.0,66,0.6393,0.791,0.8182,0.9016,0.9403,0.9545,0.918,0.9851,1.0,0.918,0.9851,1.0
Albums-Commitments-11.wav,Ballroom,0.9535,0.8077,0.8155,44,0.0698,0.7885,0.7767,0.7907,0.8077,0.7961,0.9535,0.8077,0.8155,0.9535,0.8077,0.835
165.wav,Hainsworth,0.9861,0.9481,0.9799,73,0.1944,0.9481,0.9799,0.9306,0.9481,0.9799,0.9861,0.9481,0.9799,0.9861,0.9481,0.9799
